time,Wind speed 100 Hz,RH,Air temperature,Leaf Wetness,Soil conductivity_25cm,Soil conductivity_15cm,Soil conductivity_5cm,Soil temperature_25cm,Soil temperature_15cm,Soil temperature_5cm,Soil moisture_25cm,Soil moisture_15cm,Soil moisture_5cm,Precipitation,Pyranometer
2022-07-27 15:30:00+03:00,1.670168,30.44556,35.92126,0,1443.705,1675.437,2557.808,26.24717,29.89509,46.3107,11.7943,9.932685,1.690781,0,822.0798
2022-07-27 15:40:00+03:00,1.418709,26.16159,35.77249,0,1443.698,1678.526,2539.938,26.24717,30.0993,46.3107,11.79726,9.94819,1.685578,0,832.5704
2022-07-27 15:50:00+03:00,1.630148,25.43297,35.27657,0,1443.305,1682.141,2525.719,26.29908,30.25247,46.32621,11.80021,9.945084,1.671057,0,794.8043
2022-07-27 16:00:00+03:00,1.728864,30.57145,35.12398,0,1444.86,1681.355,2516.871,26.37697,30.32905,46.25875,11.79134,9.932685,1.66589,0,781.4526
2022-07-27 16:10:00+03:00,1.770885,30.70497,34.87221,0,1446.436,1681.969,2509.815,26.45484,30.50773,46.17041,11.78248,9.926491,1.656612,0,758.7548
2022-07-27 16:20:00+03:00,1.853593,27.06188,35.16975,0,1445.652,1682.238,2488.753,26.45484,30.58433,46.23276,11.78839,9.920297,1.645315,0,721.7518
2022-07-27 16:30:00+03:00,1.149241,29.75891,35.92126,0,1445.252,1683.215,2490.501,26.45484,30.71196,46.33145,11.79726,9.935788,1.633043,0,704.7761
2022-07-27 16:40:00+03:00,0.89378,31.04829,36.52399,0,1447.21,1683.657,2473.062,26.50676,30.91617,46.12886,11.78543,9.926491,1.629984,0,649.0806
2022-07-27 16:50:00+03:00,1.625479,31.86847,35.5932,0,1447.216,1685.522,2471.321,26.66251,31.04381,45.80146,11.77952,9.932685,1.635085,0,639.5438
2022-07-27 17:00:00+03:00,2.263798,30.31968,35.03624,0,1447.204,1685.171,2462.648,26.66251,31.12039,45.45854,11.78543,9.938886,1.632023,0,600.6332
2022-07-27 17:10:00+03:00,1.650158,28.86244,35.53597,0,1446.41,1688.817,2441.948,26.66251,31.3246,45.27161,11.78839,9.917201,1.631003,0,580.7965
