timestamp,pH,ORP,total_coli,BOD,COD,NO3,temperature
2022-07-21 22:48:59.803000+00:00,,,,,,5.1,
2022-07-21 23:12:44.525000+00:00,,,2169.61,,,,
2022-07-21 23:15:44.428000+00:00,,,,0.0,,,
2022-07-21 23:18:44.485000+00:00,,,,,0.0,,
2022-07-21 23:21:59.908000+00:00,,,,,,5.0,
2022-07-21 23:39:59.726000+00:00,7.919999,,,,,,
2022-07-21 23:45:44.417000+00:00,,,1966.03,,,,
2022-07-21 23:54:59.694000+00:00,,,,,,5.1,
2022-07-22 00:12:59.805000+00:00,7.919999,,,,,,
2022-07-22 00:15:44.334000+00:00,,296.5,,,,,
2022-07-22 00:18:59.633000+00:00,,,1901.76,,,,
2022-07-22 00:21:59.815000+00:00,,,,0.0,,,
2022-07-22 00:51:59.739000+00:00,,,2082.29,,,,
2022-07-22 00:54:59.707000+00:00,,,,0.0,,,
2022-07-22 00:57:44.268000+00:00,,,,,0.0,,
2022-07-22 01:00:59.576000+00:00,,,,,,5.1,
2022-07-22 01:21:44.208000+00:00,,294.4,,,,,
2022-07-22 01:24:44.212000+00:00,,,1651.33,,,,
2022-07-22 01:30:44.215000+00:00,,,,,0.0,,
2022-07-22 01:33:44.210000+00:00,,,,,,5.2,
2022-07-22 01:51:44.165000+00:00,7.959999,,,,,,
2022-07-22 01:57:44.165000+00:00,,,1832.06,,,,
2022-07-22 02:03:44.152000+00:00,,,,,0.0,,
2022-07-22 02:06:44.152000+00:00,,,,,,5.1,
2022-07-22 02:24:44.106000+00:00,7.929999,,,,,,
2022-07-22 02:27:44.111000+00:00,,305.7,,,,,
2022-07-22 02:30:44.081000+00:00,,,1834.86,,,,
2022-07-22 02:36:44.093000+00:00,,,,,0.0,,
2022-07-22 02:39:59.404000+00:00,,,,,,5.0,
2022-07-22 03:03:44.061000+00:00,,,1758.62,,,,
2022-07-22 03:12:59.484000+00:00,,,,,,5.0,
2022-07-22 03:30:44.016000+00:00,7.929999,,,,,,
2022-07-22 03:33:59.305000+00:00,,304.2,,,,,
2022-07-22 03:36:59.317000+00:00,,,1970.39,,,,
2022-07-22 03:39:44+00:00,,,,0.0,,,
2022-07-22 03:42:59.433000+00:00,,,,,0.0,,
2022-07-22 03:45:59.270000+00:00,,,,,,4.9,
2022-07-22 04:06:43.943000+00:00,,303.2,,,,,
2022-07-22 04:12:59.241000+00:00,,,,0.0,,,
2022-07-22 04:15:43.912000+00:00,,,,,0.0,,
2022-07-22 04:36:43.903000+00:00,7.939999,,,,,,
2022-07-22 04:39:43.877000+00:00,,306.0,,,,,
2022-07-22 04:42:43.853000+00:00,,,1987.72,,,,
2022-07-22 04:45:59.318000+00:00,,,,0.0,,,
2022-07-22 04:51:43.875000+00:00,,,,,,4.8,
2022-07-22 05:12:59.267000+00:00,,301.1999,,,,,
2022-07-22 05:15:43.825000+00:00,,,2020.86,,,,
2022-07-22 05:18:43.828000+00:00,,,,0.0,,,
2022-07-22 05:42:59.222000+00:00,7.969999,,,,,,
2022-07-22 05:48:59.230000+00:00,,,2170.46,,,,
2022-07-22 05:57:59.053000+00:00,,,,,,4.7,
2022-07-22 06:50:01.429000+00:00,7.969999,,,,,,
2022-07-22 06:52:22.419000+00:00,,298.2,,,,,
2022-07-22 06:53:41.987000+00:00,,,2169.93,,,,
2022-07-22 07:29:57.044000+00:00,7.969999,,,,,,
2022-07-22 07:36:12.474000+00:00,,,,,0.0,,
2022-07-22 07:42:12.461000+00:00,,,,,,,0.39
2022-07-22 08:21:56.924000+00:00,7.959999,,,,,,
2022-07-22 09:02:12.204000+00:00,,,,0.0,,,
2022-07-22 09:17:12.150000+00:00,,,,,0.0,,
2022-07-22 09:32:12.268000+00:00,,,,,,4.4,
