timestamp,soil-bulk-ec0-uS/cm,soil-moisture0-%,soil-temperature0-C
2022-05-25 00:49:51.988000+00:00,81.0,11.47,22.2
2022-05-25 00:54:53.994000+00:00,82.0,11.46,22.2
2022-05-25 00:59:55.993000+00:00,82.0,11.46,22.2
2022-05-25 01:05:04.798000+00:00,81.0,11.46,22.1
2022-05-25 01:09:54.803000+00:00,81.0,11.45,22.0
2022-05-25 01:14:29.800000+00:00,82.0,11.45,22.0
2022-05-25 01:19:39.802000+00:00,82.0,11.46,22.0
2022-05-25 01:24:37.800000+00:00,82.0,11.45,21.9
2022-05-25 01:29:29.004000+00:00,83.0,11.47,21.9
2022-05-25 01:34:48.802000+00:00,83.0,11.47,21.8
2022-05-25 01:39:52.809000+00:00,82.0,11.44,21.8
2022-05-25 01:44:43.004000+00:00,82.0,11.46,21.8
2022-05-25 01:49:35.009000+00:00,83.0,11.45,21.7
2022-05-25 01:54:49.811000+00:00,81.0,11.46,21.7
2022-05-25 02:00:08.982000+00:00,82.0,11.45,21.6
2022-05-25 02:05:30.801000+00:00,82.0,11.47,21.6
2022-05-25 02:10:56.806000+00:00,83.0,11.45,21.5
2022-05-25 02:15:59.807000+00:00,81.0,11.45,21.5
2022-05-25 02:21:11.807000+00:00,83.0,11.46,21.5
2022-05-25 02:26:16.808000+00:00,83.0,11.46,21.4
2022-05-25 02:30:53.814000+00:00,81.0,11.45,21.4
2022-05-25 02:36:15.813000+00:00,81.0,11.45,21.3
2022-05-25 02:41:37.814000+00:00,82.0,11.47,21.3
2022-05-25 02:46:36.989000+00:00,81.0,11.46,21.3
2022-05-25 02:51:50.007000+00:00,81.0,11.46,21.2
2022-05-25 02:56:33.805000+00:00,82.0,11.46,21.2
2022-05-25 03:01:55.998000+00:00,81.0,11.46,21.1
2022-05-25 03:07:17.993000+00:00,81.0,11.46,21.1
2022-05-25 03:12:08.004000+00:00,81.0,11.46,21.1
2022-05-25 03:17:25.808000+00:00,81.0,11.47,21.0
2022-05-25 03:22:12.810000+00:00,81.0,11.45,21.0
2022-05-25 03:26:52+00:00,80.0,11.46,21.0
2022-05-25 03:32:04.051000+00:00,82.0,11.45,20.9
2022-05-25 03:37:25.812000+00:00,81.0,11.48,20.9
2022-05-25 03:42:01.010000+00:00,81.0,11.47,20.8
2022-05-25 03:46:52.817000+00:00,81.0,11.46,20.8
2022-05-25 03:51:29.008000+00:00,81.0,11.46,20.7
2022-05-25 03:56:32.004000+00:00,81.0,11.47,20.7
2022-05-25 04:01:37.014000+00:00,82.0,11.47,20.7
2022-05-25 04:06:42.997000+00:00,81.0,11.48,20.7
2022-05-25 04:11:51.815000+00:00,82.0,11.46,20.6
2022-05-25 04:17:02.002000+00:00,82.0,11.48,20.6
2022-05-25 04:22:07.996000+00:00,82.0,11.46,20.6
2022-05-25 04:26:58.811000+00:00,82.0,11.46,20.5
2022-05-25 04:32:20.001000+00:00,82.0,11.46,20.5
2022-05-25 04:37:04.807000+00:00,81.0,11.46,20.5
2022-05-25 04:42:09.813000+00:00,81.0,11.47,20.4
2022-05-25 04:47:31.812000+00:00,82.0,11.47,20.4
2022-05-25 04:52:45.816000+00:00,81.0,11.48,20.4
2022-05-25 04:57:51.813000+00:00,81.0,11.46,20.3
2022-05-25 05:02:45.816000+00:00,80.0,11.47,20.3
2022-05-25 05:07:33.999000+00:00,80.0,11.47,20.3
2022-05-25 05:12:46.808000+00:00,82.0,11.46,20.3
2022-05-25 05:17:55.815000+00:00,80.0,11.46,20.3
2022-05-25 05:23:10.813000+00:00,83.0,11.46,20.2
2022-05-25 05:28:25.809000+00:00,81.0,11.47,20.2
2022-05-25 05:33:34.004000+00:00,79.0,11.46,20.2
2022-05-25 05:38:42.997000+00:00,81.0,11.45,20.2
2022-05-25 05:43:38.804000+00:00,81.0,11.47,20.2
2022-05-25 05:48:56.806000+00:00,81.0,11.47,20.2
2022-05-25 05:54:10.007000+00:00,82.0,11.46,20.2
2022-05-25 05:59:12.802000+00:00,82.0,11.46,20.2
2022-05-25 06:03:54.003000+00:00,82.0,11.46,20.3
2022-05-25 06:08:42.004000+00:00,81.0,11.46,20.3
2022-05-25 06:13:23.003000+00:00,82.0,11.46,20.3
2022-05-25 06:18:08.804000+00:00,81.0,11.47,20.3
2022-05-25 06:22:40.805000+00:00,81.0,11.45,20.3
2022-05-25 06:27:30.986000+00:00,82.0,11.47,20.3
2022-05-25 06:32:53.797000+00:00,81.0,11.47,20.4
2022-05-25 06:38:03.982000+00:00,82.0,11.47,20.5
2022-05-25 06:42:44.983000+00:00,82.0,11.46,20.5
2022-05-25 06:47:46.797000+00:00,82.0,11.47,20.5
2022-05-25 06:52:59.978000+00:00,83.0,11.48,20.6
2022-05-25 06:57:39.987000+00:00,82.0,11.47,20.6
2022-05-25 07:02:48.978000+00:00,82.0,11.47,20.7
2022-05-25 07:08:12.978000+00:00,81.0,11.46,20.8
2022-05-25 07:13:21.800000+00:00,81.0,11.45,20.8
2022-05-25 07:18:26.975000+00:00,81.0,11.46,20.9
