timestamp,ndvi-nir-out0-W/m2,ndvi-red-out0-W/m2,ndvi0
2022-06-10 20:22:38.127000+00:00,0.007,0.014,-0.333
2022-06-10 20:37:08.078000+00:00,0.006,0.013,-0.368
2022-06-10 20:37:15.107000+00:00,0.006,0.013,-0.368
2022-06-10 20:37:22.127000+00:00,0.006,0.013,-0.368
2022-06-10 20:52:17.090000+00:00,0.007,0.013,-0.3
2022-06-10 20:52:24.110000+00:00,0.007,0.013,-0.3
2022-06-10 20:52:31.151000+00:00,0.007,0.013,-0.3
2022-06-10 21:07:37.296000+00:00,0.007,0.013,-0.3
2022-06-10 21:07:44.314000+00:00,0.007,0.013,-0.3
2022-06-10 21:07:51.352000+00:00,0.007,0.013,-0.3
2022-06-10 21:22:28.309000+00:00,0.007,0.015,-0.364
2022-06-10 21:22:35.337000+00:00,0.007,0.015,-0.364
2022-06-10 21:22:42.366000+00:00,0.007,0.015,-0.364
2022-06-10 21:37:20.148000+00:00,0.007,0.014,-0.333
2022-06-10 21:37:27.149000+00:00,0.007,0.014,-0.333
2022-06-10 21:37:34.189000+00:00,0.007,0.014,-0.333
2022-06-10 21:52:33.143000+00:00,0.006,0.013,-0.368
2022-06-10 21:52:40.185000+00:00,0.006,0.013,-0.368
2022-06-10 21:52:47.199000+00:00,0.006,0.013,-0.368
2022-06-10 22:07:42.347000+00:00,0.007,0.014,-0.333
2022-06-10 22:07:49.377000+00:00,0.007,0.014,-0.333
2022-06-10 22:07:56.393000+00:00,0.007,0.014,-0.333
2022-06-10 22:22:17.159000+00:00,0.006,0.012,-0.333
2022-06-10 22:22:31.250000+00:00,0.006,0.012,-0.333
2022-06-10 22:37:10.184000+00:00,0.007,0.014,-0.333
2022-06-10 22:37:17.205000+00:00,0.007,0.014,-0.333
2022-06-10 22:37:24.244000+00:00,0.007,0.014,-0.333
2022-06-10 22:51:42.387000+00:00,0.007,0.014,-0.333
2022-06-10 22:51:49.417000+00:00,0.007,0.014,-0.333
2022-06-10 22:51:56.436000+00:00,0.007,0.014,-0.333
2022-06-10 23:06:37.211000+00:00,0.007,0.014,-0.333
2022-06-10 23:06:44.251000+00:00,0.007,0.014,-0.333
2022-06-10 23:06:51.261000+00:00,0.007,0.014,-0.333
2022-06-10 23:21:28.225000+00:00,0.005,0.011,-0.375
2022-06-10 23:21:35.273000+00:00,0.005,0.011,-0.375
2022-06-10 23:21:42.300000+00:00,0.005,0.011,-0.375
2022-06-10 23:36:07.244000+00:00,0.007,0.014,-0.333
2022-06-10 23:36:14.317000+00:00,0.007,0.014,-0.333
2022-06-10 23:36:21.295000+00:00,0.007,0.014,-0.333
2022-06-10 23:51:01.249000+00:00,0.006,0.012,-0.333
2022-06-10 23:51:08.284000+00:00,0.006,0.012,-0.333
2022-06-10 23:51:15.360000+00:00,0.006,0.012,-0.333
2022-06-11 00:06:04.319000+00:00,0.007,0.014,-0.333
2022-06-11 00:06:11.348000+00:00,0.007,0.014,-0.333
2022-06-11 00:06:18.327000+00:00,0.007,0.014,-0.333
2022-06-11 00:20:51.322000+00:00,0.007,0.013,-0.3
2022-06-11 00:20:58.299000+00:00,0.007,0.013,-0.3
2022-06-11 00:21:05.334000+00:00,0.007,0.013,-0.3
2022-06-11 00:35:56.334000+00:00,0.006,0.013,-0.368
2022-06-11 00:36:03.353000+00:00,0.006,0.013,-0.368
2022-06-11 00:36:10.344000+00:00,0.006,0.013,-0.368
2022-06-11 00:51:01.487000+00:00,0.007,0.013,-0.3
2022-06-11 00:51:08.517000+00:00,0.007,0.013,-0.3
2022-06-11 00:51:15.598000+00:00,0.007,0.013,-0.3
2022-06-11 01:05:36.551000+00:00,0.007,0.013,-0.3
2022-06-11 01:05:43.530000+00:00,0.007,0.013,-0.3
2022-06-11 01:20:14.584000+00:00,0.006,0.012,-0.333
2022-06-11 01:20:21.606000+00:00,0.006,0.012,-0.333
2022-06-11 01:20:28.614000+00:00,0.006,0.012,-0.333
2022-06-11 01:34:56.566000+00:00,0.006,0.011,-0.294
2022-06-11 01:35:03.623000+00:00,0.006,0.011,-0.294
2022-06-11 01:35:10.638000+00:00,0.006,0.011,-0.294
2022-06-11 01:49:45.350000+00:00,0.006,0.013,-0.368
2022-06-11 01:49:52.375000+00:00,0.006,0.013,-0.368
2022-06-11 01:49:59.417000+00:00,0.006,0.013,-0.368
2022-06-11 02:04:26.360000+00:00,0.005,0.011,-0.375
2022-06-11 02:04:33.388000+00:00,0.005,0.011,-0.375
2022-06-11 02:04:40.467000+00:00,0.005,0.011,-0.375
2022-06-11 02:19:16.563000+00:00,0.006,0.013,-0.368
2022-06-11 02:19:23.640000+00:00,0.006,0.013,-0.368
2022-06-11 02:19:30.666000+00:00,0.006,0.013,-0.368
2022-06-11 02:34:11.663000+00:00,0.006,0.012,-0.333
2022-06-11 02:34:18.655000+00:00,0.006,0.012,-0.333
2022-06-11 02:34:25.680000+00:00,0.006,0.012,-0.333
2022-06-11 02:49:00.646000+00:00,0.007,0.013,-0.3
2022-06-11 02:49:07.612000+00:00,0.007,0.013,-0.3
2022-06-11 02:49:14.652000+00:00,0.007,0.013,-0.3
2022-06-11 03:04:15.412000+00:00,0.007,0.014,-0.333
2022-06-11 03:04:22.508000+00:00,0.007,0.014,-0.333
2022-06-11 03:04:29.522000+00:00,0.007,0.014,-0.333
2022-06-11 03:19:18.616000+00:00,0.007,0.014,-0.333
2022-06-11 03:19:25.648000+00:00,0.007,0.014,-0.333
2022-06-11 03:19:32.682000+00:00,0.007,0.014,-0.333
2022-06-11 03:34:07.748000+00:00,0.007,0.014,-0.333
2022-06-11 03:34:14.774000+00:00,0.007,0.014,-0.333
2022-06-11 03:34:21.804000+00:00,0.007,0.014,-0.333
2022-06-11 03:49:37.759000+00:00,0.007,0.014,-0.333
2022-06-11 03:49:44.792000+00:00,0.007,0.014,-0.333
2022-06-11 03:49:51.892000+00:00,0.007,0.014,-0.333
2022-06-11 04:04:24.586000+00:00,0.007,0.014,-0.333
2022-06-11 04:04:31.610000+00:00,0.007,0.014,-0.333
2022-06-11 04:04:38.693000+00:00,0.007,0.014,-0.333
2022-06-11 04:19:50.857000+00:00,0.008,0.015,-0.304
2022-06-11 04:19:57.818000+00:00,0.008,0.015,-0.304
2022-06-11 04:20:04.847000+00:00,0.008,0.015,-0.304
2022-06-11 04:34:35.612000+00:00,0.008,0.015,-0.304
2022-06-11 04:34:42.631000+00:00,0.008,0.015,-0.304
2022-06-11 04:34:49.720000+00:00,0.008,0.015,-0.304
2022-06-11 04:49:16.813000+00:00,0.008,0.016,-0.333
2022-06-11 04:49:23.845000+00:00,0.008,0.016,-0.333
2022-06-11 04:49:30.885000+00:00,0.008,0.016,-0.333
2022-06-11 05:04:07.831000+00:00,0.007,0.015,-0.364
2022-06-11 05:04:14.860000+00:00,0.007,0.015,-0.364
2022-06-11 05:04:21.891000+00:00,0.007,0.015,-0.364
2022-06-11 05:19:05.847000+00:00,0.008,0.016,-0.333
2022-06-11 05:19:12.927000+00:00,0.008,0.016,-0.333
2022-06-11 05:19:19.905000+00:00,0.008,0.016,-0.333
2022-06-11 05:34:18.704000+00:00,0.008,0.016,-0.333
2022-06-11 05:34:25.687000+00:00,0.008,0.016,-0.333
2022-06-11 05:34:32.714000+00:00,0.008,0.016,-0.333
2022-06-11 05:49:36.849000+00:00,0.009,0.018,-0.333
2022-06-11 05:49:36.881000+00:00,0.009,0.018,-0.333
2022-06-11 05:49:43.870000+00:00,0.009,0.018,-0.333
2022-06-11 05:49:43.946000+00:00,0.009,0.018,-0.333
2022-06-11 05:49:50.900000+00:00,0.009,0.018,-0.333
2022-06-11 05:49:50.987000+00:00,0.009,0.018,-0.333
2022-06-11 06:04:30.748000+00:00,0.012,0.025,-0.351
2022-06-11 06:04:30.752000+00:00,0.012,0.025,-0.351
2022-06-11 06:04:37.707000+00:00,0.012,0.025,-0.351
2022-06-11 06:04:37.755000+00:00,0.012,0.025,-0.351
2022-06-11 06:04:44.739000+00:00,0.012,0.025,-0.351
2022-06-11 06:19:50.868000+00:00,0.011,0.022,-0.333
2022-06-11 06:19:57.897000+00:00,0.011,0.022,-0.333
2022-06-11 06:20:04.923000+00:00,0.011,0.022,-0.333
2022-06-11 06:20:05.001000+00:00,0.011,0.022,-0.333
2022-06-11 06:34:55.880000+00:00,0.01,0.02,-0.333
2022-06-11 06:34:55.958000+00:00,0.01,0.02,-0.333
2022-06-11 06:35:02.995000+00:00,0.01,0.02,-0.333
2022-06-11 06:35:09.938000+00:00,0.01,0.02,-0.333
2022-06-11 06:50:05.896000+00:00,0.011,0.021,-0.313
2022-06-11 06:50:05.949000+00:00,0.011,0.021,-0.313
2022-06-11 06:50:12.916000+00:00,0.011,0.021,-0.313
2022-06-11 06:50:19.954000+00:00,0.011,0.021,-0.313
2022-06-11 06:50:19.997000+00:00,0.011,0.021,-0.313
2022-06-11 07:04:46.900000+00:00,0.015,0.03,-0.333
2022-06-11 07:04:46.972000+00:00,0.015,0.03,-0.333
2022-06-11 07:04:53.925000+00:00,0.015,0.03,-0.333
2022-06-11 07:04:54.020000+00:00,0.015,0.03,-0.333
2022-06-11 07:05:00.965000+00:00,0.015,0.03,-0.333
